Semana,Fase,Atividade,Responsável,Status,Checkpoint,Investimento (R$)
1,Estruturação Legal,Definição da razão social e contrato social,Diretor Operacional,Planejado,Estrutura Legal,2000
1,Estruturação Legal,Consulta de viabilidade do nome empresarial,Contador,Planejado,Estrutura Legal,500
1,Estruturação Legal,Preparação documentação Junta Comercial,Contador,Planejado,Estrutura Legal,1000
1,Estruturação Legal,Contratação escritório contabilidade,Diretor Operacional,Planejado,Estrutura Legal,800
1,Recursos Humanos,Início recrutamento posições-chave,Diretor Operacional,Planejado,Estrutura Legal,1500
2,Estruturação Legal,Registro na Junta Comercial,Contador,Planejado,Estrutura Legal,1200
2,Estruturação Legal,Solicitação CNPJ Receita Federal,Contador,Planejado,Estrutura Legal,0
2,Estruturação Legal,Inscrição estadual e municipal,Contador,Planejado,Estrutura Legal,800
2,Estruturação Legal,Abertura conta bancária empresarial,Diretor Operacional,Planejado,Estrutura Legal,0
2,Recursos Humanos,Continuidade processo recrutamento,Diretor Operacional,Planejado,Estrutura Legal,2000
3,Recursos Humanos,Finalização seleção Diretor Operacional,Sócios,Planejado,Estrutura Legal,0
3,Recursos Humanos,Entrevistas Supervisor Operações,Diretor Operacional,Planejado,Estrutura Legal,500
3,Recursos Humanos,Definição critérios técnicos,Supervisor Operações,Planejado,Estrutura Legal,0
3,Infraestrutura,Pesquisa sede operacional,Diretor Operacional,Planejado,Estrutura Legal,1000
3,Equipamentos,Cotação equipamentos básicos,Supervisor Operações,Planejado,Estrutura Legal,500
4,Recursos Humanos,Contratação Diretor Operacional,Sócios,Planejado,Estrutura Legal,8000
4,Recursos Humanos,Contratação Supervisor Operações,Diretor Operacional,Planejado,Estrutura Legal,6000
4,Recursos Humanos,Seleção técnicos especializados,Supervisor Operações,Planejado,Estrutura Legal,1000
4,Infraestrutura,Contratação sede operacional,Diretor Operacional,Planejado,Estrutura Legal,4000
4,Equipamentos,Aquisição equipamentos básicos,Supervisor Operações,Planejado,Estrutura Legal,8000
5,Tecnologia,Contratação desenvolvimento CRM,Diretor Operacional,Planejado,Sistemas e Treinamento,15000
5,Tecnologia,Início desenvolvimento site,Diretor Operacional,Planejado,Sistemas e Treinamento,8000
5,Recursos Humanos,Contratação técnicos especializados,Supervisor Operações,Planejado,Sistemas e Treinamento,10000
5,Treinamento,Planejamento programa treinamento,Supervisor Operações,Planejado,Sistemas e Treinamento,2000
5,Equipamentos,Especificações equipamentos especializados,Supervisor Operações,Planejado,Sistemas e Treinamento,500
6,Tecnologia,Desenvolvimento CRM em andamento,Fornecedor TI,Planejado,Sistemas e Treinamento,0
6,Tecnologia,Criação conteúdo site institucional,Marketing,Planejado,Sistemas e Treinamento,3000
6,Treinamento,Elaboração material treinamento,Supervisor Operações,Planejado,Sistemas e Treinamento,2500
6,Equipamentos,Cotação equipamentos especializados,Supervisor Operações,Planejado,Sistemas e Treinamento,1000
6,Infraestrutura,Planejamento infraestrutura física,Diretor Operacional,Planejado,Sistemas e Treinamento,1500
7,Treinamento,Início programa treinamento equipe,Supervisor Operações,Planejado,Sistemas e Treinamento,5000
7,Tecnologia,Testes iniciais sistema CRM,Fornecedor TI,Planejado,Sistemas e Treinamento,0
7,Processos,Desenvolvimento processos operacionais,Supervisor Operações,Planejado,Sistemas e Treinamento,1000
7,Equipamentos,Negociação fornecedores equipamentos,Diretor Operacional,Planejado,Sistemas e Treinamento,500
7,Infraestrutura,Preparação infraestrutura sede,Diretor Operacional,Planejado,Sistemas e Treinamento,3000
8,Treinamento,Continuidade programa treinamento,Supervisor Operações,Planejado,Sistemas e Treinamento,3000
8,Tecnologia,Refinamento sistema CRM,Fornecedor TI,Planejado,Sistemas e Treinamento,2000
